id,label,violation_type,mode,predicted,expected,correct,rule_fired,blocked_stage,latency_ms,disabled_rule_ids,disabled_rule_families,rule_registry_hash,production_fail_closed_caveat
safe_unknown_tool_01,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,1.043800,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_01,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_02,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_02,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.522500,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_03,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_03,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_04,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_04,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.567700,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_05,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_05,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_06,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.528000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_06,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_07,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_07,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.568500,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_08,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_08,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_09,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_09,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,2.263400,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_10,safe,unknown_tool,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_unknown_tool_10,safe,unknown_tool,gate_off,ALLOW,ALLOW,true,none,none,0.571100,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_threshold_literal_01,safe,over_threshold_literal,gate_on,ALLOW,ALLOW,true,none,none,0.547200,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_threshold_literal_01,safe,over_threshold_literal,gate_off,ALLOW,ALLOW,true,none,none,0.569200,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_threshold_literal_02,safe,over_threshold_literal,gate_on,ALLOW,ALLOW,true,none,none,0.000000,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_threshold_literal_02,safe,over_threshold_literal,gate_off,ALLOW,ALLOW,true,none,none,0.586300,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_threshold_literal_03,safe,over_threshold_literal,gate_on,ALLOW,ALLOW,true,none,none,0.580800,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
safe_threshold_literal_03,safe,over_threshold_literal,gate_off,ALLOW,ALLOW,true,none,none,0.586800,CAP-GAP-001;GLOBAL-SAFETY-001,capability_gap;execution_safety,sha256:7603889ba73b7804233b631c35ec9da05d6b945da82619d33717cf2607c29ce0,The disabled evaluation families have no complete registry-condition evaluator and fail closed in production.
